[ 3.66228144  1.88282525]
[ 3.4821833   1.72998024]
[ 2.38973131  1.96580771]
[ 2.43235719  1.77317894]
[ 2.48320079  1.68461322]
[ 2.82541515  1.4557365 ]
[ 2.74185856  1.47729206]
[ 3.61428477  2.09750631]
[ 2.95970209  1.49890844]
[ 3.53517705  1.7947079 ]
[ 2.40648792  1.86242607]
[ 2.4833537   1.73901898]
[ 2.36905202  1.96104736]
[ 3.618232    2.06126905]
[ 2.70534081  1.5401726 ]
[ 2.70003996  1.54854562]
[ 2.51585972  1.73175472]
[ 3.66634927  1.91337996]
[ 3.25815836  1.4556573 ]
[ 2.81651388  1.48923091]
[ 2.35742976  1.85163368]
[ 2.97808396  1.42973117]
[ 3.07977767  1.49092756]
[ 2.83340179  1.45824384]
[ 2.35155566  1.94806387]
[ 2.33901943  2.06143566]
[ 2.41433308  1.87568334]
[ 2.87231513  1.45796465]
[ 2.80970075  1.51436746]
[ 3.37399463  1.60958175]
[ 3.4003267   1.53524523]
[ 3.47628506  1.64671438]
[ 3.56433079  1.7865286 ]
[ 3.27416805  1.52592967]
[ 3.65779328  1.96678342]
[ 2.35783151  2.09906145]
[ 3.61987283  2.08785344]
[ 3.33230699  1.57985574]
[ 2.79667548  1.46042147]
[ 3.66567833  1.94412061]
[ 3.61184887  1.79677585]
[ 3.61119896  1.94892697]
[ 3.27525678  1.5162534 ]
[ 3.26821858  1.54452534]
[ 3.42651005  1.67022627]
[ 2.30480799  2.09543814]
[ 2.68850313  1.55537865]
[ 2.53472946  1.67756855]
[ 2.80511861  1.43882866]
[ 2.51742698  1.67993605]
[ 3.25547881 -0.01852123]
[ 2.39685647  0.51504554]
[ 3.42113699  0.13898313]
[ 2.70749016  0.04163398]
[ 3.4775353   0.16397124]
[ 3.18329859 -0.02248813]
[ 2.35678733  0.49301516]
[ 3.01043077 -0.06689008]
[ 3.34793076  0.0349303 ]
[ 3.10228321 -0.07217043]
[ 3.59214686  0.29571723]
[ 3.24316015 -0.01849669]
[ 3.3559091   0.07515171]
[ 2.37016848  0.41258065]
[ 3.26249987  0.02357405]
[ 2.38992365  0.46038486]
[ 2.73265878 -0.04112492]
[ 3.62205907  0.29189696]
[ 2.39522219  0.35170186]
[ 2.97165152 -0.01474745]
[ 3.43302406  0.15715237]
[ 2.63650175  0.09355705]
[ 2.53116851  0.19634211]
[ 2.41768094  0.32892244]
[ 2.74135543 -0.04058001]
[ 3.60032584  0.5002471 ]
[ 2.84421072 -0.02229667]
[ 3.67773342  0.5700749 ]
[ 2.5829631   0.10855808]
[ 3.29552581 -0.0285372 ]
[ 3.3289079   0.06722781]
[ 2.32891287  0.51201976]
[ 2.35459182  0.58646002]
[ 3.19461845 -0.00538524]
[ 2.85284733  0.01791674]
[ 2.4135817   0.29455503]
[ 2.74486578  0.05455644]
[ 3.63831651  0.50477057]
[ 2.94069616 -0.06828126]
[ 2.73333329 -0.02590603]
[ 2.55662012  0.15313966]
[ 2.39890529  0.47336928]
[ 3.2973103   0.06253748]
[ 3.32974953  0.08938635]
[ 3.6224808   0.39344877]
[ 2.35774991  0.59337503]
[ 3.49671355  0.21120776]
[ 3.64179458  0.44607893]
[ 3.52236524  0.23035978]
[ 3.30932418  0.01475939]
[ 3.51881863  0.97979544]
[ 3.53386248  1.55061531]
[ 3.55793204  0.59338364]
[ 3.58887997  1.23631516]
[ 3.57159302  1.5381723 ]
[ 3.5694872   0.60606407]
[ 3.57417413  0.74599491]
[ 3.59894393  1.55562614]
[ 3.5003022   0.56635272]
[ 3.54972607  1.42743734]
[ 3.56543586  1.4371028 ]
[ 3.50089387  1.22611726]
[ 3.56703234  0.92580734]
[ 3.51688351  1.89240884]
[ 3.58080479  1.84767994]
[ 3.52384207  1.51925802]
[ 3.53515965  1.69228674]
[ 3.58309257  1.15088264]
[ 3.59520365  1.25821293]
[ 3.56182335  1.59526066]
[ 3.57005254  1.90431105]
[ 3.58469724  0.77491442]
[ 3.51198019  1.00718578]
[ 3.50159019  1.64901535]
[ 3.55526636  1.34960395]
[ 3.5970853   1.74668507]
[ 3.5833879   0.80772242]
[ 3.59504685  1.75232666]
[ 3.52686285  1.64400547]
[ 3.59190838  1.9329831 ]
[ 3.51438205  0.75106688]
[ 3.55642966  0.82498222]
[ 3.50802044  0.98445755]
[ 3.51713433  0.83403269]
[ 3.58086791  0.7397378 ]
[ 3.59379016  1.99639925]
[ 3.51951353  0.65779932]
[ 3.57811363  1.76735152]
[ 3.57139066  0.94384791]
[ 3.59706433  0.97462176]
[ 1.25061693  1.03066019]
[ 1.43121847  1.80192915]
[ 1.55492109  1.33306796]
[ 1.22385541  2.03713974]
[ 1.22181052  1.03687937]
[ 1.45875017  1.72804745]
[ 1.54974333  1.50218684]
[ 1.51112106  1.2626797 ]
